SCHOOLNAME,RPI,OPPONENT RPI RANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD ROAD L10,1-25,26-50,51-100 101-150,VTOP100,VBELOW150
Cincinnati,1,89 12,29-4,1,13-3,7,16-1 10-1 7-3,3-2,5-0,11-2 5-0,19-4,5-0
MichiganSt.,2,84 6,32-7,11,15-4,2,17-3 6-6 10-0,13-4,2-2,5-0 5-0,20-6,7-1
Iowa St.,3,107 53,29-5,25,12-3,5,17-2 6-3 9-1,7-3,1-0,7-1 3-0,15-4,11-1
Kentucky,4,63 1,22-10,4,10-5,1,12-5 5-5 6-4,4-8,4-1,6-1 4-0,14-10,4-0
Duke,5,97 31,29-5,28,11-4,4,18-1 9-0 8-2,6-5,4-0,5-0 3-0,15-5,11-0
St. John's (N.Y.),6,89 12,25-8,31,10-4,3,15-4 8-5 8-2,5-1,5-5,3-1 5-1,13-7,7-0
Temple,7,96 25,27-6,2,10-4,8,17-2 8-4 8-2,2-2,5-3,4-0 11-1,11-5,5-0
Texas,8,86 8,24-9,13,10-5,5,14-4 6-6 7-3,4-8,2-1,5-0 5-0,11-9,8-0
Arizona,9,91 19,27-7,8,12-4,6,15-3 7-4 7-3,5-3,4-1,9-1 1-2,18-5,8-0
Florida,10,90 17,29-8,10,16-3,1,13-5 5-4 7-3,7-5,2-2,6-1 7-0,15-8,7-0
Syracuse,11,100 35,26-6,21,13-2,3,13-4 7-3 6-4,4-3,3-2,4-1 8-0,11-6,7-0
Tennessee,12,96 25,25-7,12,13-2,1,12-5 7-3 6-4,6-3,0-0,5-2 8-2,11-5,6-0
LSU,13,106 50,28-6,16,15-1,1,13-5 5-3 8-2,6-3,1-0,8-2 4-1,15-5,9-0
Oklahoma St.,14,111 61,26-7,18,13-2,5,13-5 8-3 6-4,4-6,3-0,4-0 2-0,11-6,13-1
Connecticut,15,87 9,25-10,15,12-3,3,13-7 6-5 7-3,4-6,5-1,2-3 6-0,11-10,8-0
Maryland,16,88 10,25-10,9,12-4,4,13-6 4-5 7-3,4-5,2-1,8-2 6-1,14-8,5-1
Oklahoma,17,113 69,27-7,27,13-2,5,14-5 6-3 7-3,4-5,0-1,5-1 5-0,9-7,13-0
Stanford,18,117 75,26-4,30,11-1,6,15-3 10-1 7-3,2-3,3-1,7-0 3-0,12-4,11-0
Kansas,19,88 10,23-10,7,11-4,5,12-6 5-5 6-4,1-8,3-0,7-2 2-0,11-10,10-0
Tulsa,20,139 120,32-5,22,18-2,9,14-3 10-3 7-3,2-1,2-3,5-0 7-0,9-4,16-1
Wisconsin,21,68 2,22-14,6,11-4,2,11-10 4-9 8-2,6-6,5-4,3-2 4-1,14-12,4-1
Indiana,22,82 5,20-9,14,10-2,2,10-7 5-5 4-6,5-4,1-4,6-0 3-1,12-8,5-0
Illinois,23,91 19,22-10,35,9-4,2,13-6 5-4 7-3,3-6,2-2,6-1 4-1,11-9,7-0
North Carolina,24,77 4,22-14,5,13-6,4,9-8 6-5 6-4,4-7,3-4,7-2 1-1,14-13,7-0
Auburn,25,96 25,23-10,20,12-2,1,11-8 2-6 4-6,2-6,1-0,6-3 9-1,9-9,5-0
Purdue,26,89 12,23-10,26,11-4,2,12-6 7-4 7-3,6-5,2-3,4-1 5-1,12-9,6-0
Ohio St.,27,108 55,23-7,46,10-3,2,13-4 7-3 7-3,6-3,1-1,4-3 3-0,11-7,9-0
UCLA,28,85 7,21-12,3,11-4,6,10-8 5-6 8-2,3-5,5-2,5-3 4-1,13-10,4-1
Kent St.,29,122 85,21-8,32,8-2,11,13-6 8-6 6-4,0-0,4-1,4-5 4-2,8-6,9-0
Oregon,30,112,65,21-8,52,8-3,6,13-5,8-4,6-4,1-3,3-2,7-1,3-1,11-6,7-1
Utah St.,31,154,146,24-6,60,5-6,19,19-0,9-3,9-1,0-2,1-2,6-1,1-1,7-5,16-0
Gonzaga,32,135,112,26-9,37,12-6,15,14-3,9-2,7-3,1-2,4-3,2-2,7-2,7-7,12-0
Missouri St.,33,122,85,23-11,44,8-5,12,15-6,6-7,8-2,0-1,1-2,8-4,5-1,9-7,9-3
Miami (Fla.),34,104,44,23-11,95,9-7,3,14-4,8-3,8-2,2-5,3-0,5-3,6-1,10-8,7-2
BYU,35,127,99,21-11,19,12-3,10,9-8,6-9,6-4,0-1,3-2,5-3,3-4,8-6,10-1
Fresno St.,36,133,106,24-10,84,10-7,9,14-3,7-4,8-2,3-2,1-2,1-3,6-2,5-7,13-1
Pepperdine,37,149,136,25-9,53,11-6,15,14-3,10-5,7-3,1-3,2-3,2-1,8-1,5-7,12-1
Wake Forest,38,96,25,22-14,29,13-4,4,9-10,6-6,8-2,4-6,0-2,8-2,2-2,12-10,8-2
Utah,39,126,98,21-9,41,10-4,10,11-5,4-7,5-5,1-2,3-2,3-2,4-3,7-6,10-0
Butler,40,168,173,23-8,135,8-6,16,15-2,7-7,9-1,0-1,1-1,0-1,7-3,1-3,15-2
Bowling Green,41,141,123,21-8,133,7-3,11,14-5,8-7,7-3,0-0,1-3,6-2,4-1,7-5,10-2
St. Bonaventure,42,117,75,21-10,63,8-4,8,13-6,5-7,7-3,1-3,1-2,4-1,7-3,6-6,8-1
Hofstra,43,172,187,24-7,106,5-5,21,19-2,8-6,8-2,0-2,0-0,5-4,2-0,5-6,17-1
Louisville,44,89,12,18-12,45,8-5,7,10-7,4-7,7-3,2-3,3-1,5-6,4-1,10-10,4-1
Ball St.,45,117,75,21-9,23,7-2,11,14-7,6-6,8-2,0-1,4-2,6-4,3-1,10-7,8-1
Villanova,46,96,25,20-13,24,11-4,3,9-9,3-9,6-4,0-5,2-3,5-1,7-3,7-9,6-1
Seton Hall,47,111,61,22-10,47,11-3,3,11-7,6-3,4-6,3-6,2-2,1-1,5-1,6-9,11-0
Indiana St.,48,136,116,22-10,105,7-5,12,15-5,6-6,6-4,1-1,1-3,2-3,5-3,4-7,13-0
DePaul,49,98,32,20-12,43,9-4,7,11-8,6-5,5-5,2-5,0-3,7-3,4-1,9-11,7-0
Dayton,50,128,103,22-9,40,10-3,8,12-6,7-5,5-5,1-1,1-2,3-2,8-3,5-5,9-1
Southern Ill.,51,118,79,20-13,69,7-6,12,13-7,7-8,6-4,0-1,1-6,4-3,5-2,5-10,10-1
SMU,52,144,130,20-9,48,11-3,9,9-6,7-6,5-5,0-2,3-1,1-2,4-3,4-5,12-1
St. Louis,53,91,19,19-14,67,8-5,7,11-9,2-9,5-5,1-3,4-4,6-4,3-2,11-11,5-1
Southeast Mo. St.,54,171,181,22-7,57,5-3,17,17-4,7-5,8-2,0-1,0-0,2-2,6-2,2-3,14-2
Arkansas,55,102,41,19-15,101,8-6,1,11-9,2-8,6-4,4-8,0-2,2-1,4-3,6-11,9-1
Vanderbilt,56,107,53,19-11,62,10-2,1,9-9,4-6,3-7,4-5,1-1,1-2,3-3,6-8,10-0
Missouri,57,94,23,18-13,74,7-6,5,11-7,5-4,4-6,2-11,0-0,5-1,1-1,7-12,10-0
Creighton,58,141,123,23-10,107,9-3,12,14-7,8-6,7-3,0-2,4-2,2-1,5-3,6-5,12-2
Iowa,59,74,3,14-16,33,7-5,2,7-11,3-9,4-6,3-9,1-2,2-3,4-2,6-14,4-0
