SCHOOLNAME,RPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,200-999,VTOP100,VBELOWO164
Kentucky,1,32-4,19,13-4,2,19-0,10-1,9-1,17-3,7-1,5-0,3-0,24-4,3-0
Syracuse,2,30-5,2,16-1,4,14-4,6-3,9-1,13-4,7-0,4-1,6-0,20-4,7-0
Oklahoma,3,27-7,8,12-3,1,15-4,5-3,8-2,12-7,3-0,9-0,3-0,15-7,6-0
Kansas,4,28-8,5,13-5,1,15-3,7-2,8-2,11-7,8-1,7-0,2-0,19-8,3-0
Texas,5,26-7,7,13-3,1,13-4,5-4,8-2,11-7,3-0,11-0,1-0,14-7,6-0
Arizona,6,28-4,1,11-2,7,17-2,11-2,8-2,9-3,4-0,12-1,3-0,13-3,5-0
Marquette,7,27-6,3,13-3,8,14-3,7-3,8-2,8-4,9-1,6-1,4-0,17-5,6-0
Georgia,8,19-8,6,8-3,2,11-5,5-6,7-3,9-4,5-4,5-0,0-0,14-8,0-0
Pittsburgh,9,28-5,43,12-2,4,16-3,7-4,9-1,9-5,6-0,7-0,6-0,15-5,8-0
NotreDame,10,24-10,4,14-3,4,10-7,4-6,5-5,8-8,6-1,6-1,4-0,14-9,5-0
Duke,11,26-7,15,12-2,3,14-5,4-6,7-3,7-4,13-3,4-0,2-0,20-7,2-0
WakeForest,12,25-6,26,11-2,3,14-4,7-4,8-2,5-4,11-2,6-0,3-0,16-6,4-0
Louisville,13,25-7,9,11-2,8,14-5,8-3,6-4,6-5,9-2,7-0,3-0,15-7,4-0
Missouri,14,22-11,12,10-3,1,12-8,4-7,6-4,7-9,4-2,8-0,3-0,11-11,4-0
Illinois,15,25-7,35,11-2,5,14-5,3-6,8-2,7-6,8-1,5-0,5-0,15-7,7-0
OklahomaSt.,16,21-10,21,11-3,1,10-7,5-5,3-7,6-8,5-1,7-1,3-0,11-9,4-0
Florida,17,25-8,34,13-3,2,12-5,7-3,5-5,7-6,7-1,8-1,3-0,14-7,8-0
Utah,18,24-8,25,12-4,6,12-4,7-4,6-4,7-4,5-2,8-2,4-0,12-6,6-1
Xavier,19,26-6,24,10-4,9,16-2,10-2,8-2,6-4,4-2,10-0,6-0,10-6,12-0
Dayton,20,24-6,40,8-4,9,16-2,7-4,8-2,4-3,8-2,7-1,5-0,12-5,10-0
Wisconsin,21,24-8,17,12-3,5,12-5,6-5,7-3,5-5,9-2,6-1,4-0,14-7,5-1
Stanford,22,24-9,18,10-4,7,14-5,7-4,7-3,8-4,2-2,12-2,2-1,10-6,3-2
Connecticut,23,23-10,27,11-3,4,12-7,5-6,6-4,8-7,5-1,7-2,3-0,13-8,8-2
MichiganSt.,24,22-13,30,11-6,5,11-7,3-6,8-2,9-7,5-5,6-1,2-0,14-12,5-0
BrighamYoung,25,23-9,38,11-5,6,12-4,6-5,6-4,2-7,6-1,14-1,1-0,8-8,5-0
Creighton,26,29-5,14,11-2,14,18-3,7-4,7-3,4-3,1-0,12-2,12-0,5-3,16-0
MississippiSt.,27,21-10,29,10-2,2,11-8,4-6,5-5,7-7,3-2,7-1,4-0,10-9,6-0
Maryland,28,21-10,53,10-4,3,11-6,4-4,6-4,5-7,7-3,5-0,4-0,12-10,6-0
Purdue,29,19-11,10,9-3,5,10-8,3-6,4-6,6-7,6-3,6-1,1-0,12-10,3-0
Butler,30,26-6,37,11-3,13,15-3,9-5,8-2,2-2,5-3,8-1,11-0,7-5,12-0
Memphis,31,23-7,32,9-3,8,14-4,7-4,8-2,4-3,3-2,12-2,4-0,7-5,6-0
Auburn,32,21-12,20,12-3,2,9-9,3-5,5-5,4-9,4-3,9-0,4-0,8-12,6-0
ArizonaSt.,33,19-12,11,8-4,7,11-8,4-6,5-5,4-9,1-2,10-1,4-0,5-11,6-0
StJoseph's,34,23-7,16,10-2,9,13-5,8-5,6-4,2-4,8-1,7-1,6-1,10-5,9-2
TexasTech,35,22-13,40,14-2,1,8-11,6-6,6-3,3-8,6-3,10-2,3-0,9-11,5-0
California,36,22-9,44,8-3,7,14-6,7-5,5-5,2-7,4-0,11-2,5-0,6-7,8-0
Cincinnati,37,17-12,23,8-4,8,9-8,3-7,4-6,2-7,6-3,9-2,0-0,8-10,3-0
CentralMich.,38,24-7,51,7-3,11,17-4,9-5,8-2,1-1,4-3,15-2,4-1,5-4,10-2
Indiana,39,21-13,28,10-4,5,11-9,2-9,6-4,5-9,10-2,4-2,2-0,15-11,4-1
Gonzaga,40,24-9,50,11-6,10,13-3,9-2,7-3,2-6,4-1,9-0,9-2,6-7,10-2
SouthernIll.,41,24-7,60,6-4,14,18-3,8-5,7-3,1-3,2-3,10-1,11-0,3-6,12-1
SetonHall,42,17-13,96,6-6,4,11-7,3-8,6-4,2-8,3-5,8-0,4-0,5-13,7-0
BostonCollege,43,19-12,58,8-5,4,11-7,10-5,7-3,2-6,7-4,7-1,3-1,9-10,7-1
NorthCarolina,44,19-16,39,12-5,3,7-11,2-9,5-5,5-8,7-5,6-3,1-0,12-13,3-1
Colorado,45,20-12,64,10-4,1,10-8,3-9,6-4,4-7,6-1,6-4,4-0,10-8,5-0
Alabama,46,17-12,13,10-2,2,7-10,1-8,4-6,6-8,3-2,6-2,2-0,9-10,3-0
WeberSt.,47,24-5,80,8-5,18,16-0,9-3,9-1,1-2,0-1,9-1,14-1,1-3,17-1
LSU,48,21-11,49,11-2,2,10-9,2-6,7-3,5-8,3-1,7-2,6-0,8-9,8-0
UNLV,49,21-11,59,11-4,6,10-7,6-5,6-4,2-5,4-4,11-2,4-0,6-9,8-0
Providence,50,18-14,33,9-4,4,9-10,4-8,7-3,3-6,8-4,6-4,1-0,11-10,3-2
Oregon,51,23-10,48,10-2,7,13-8,7-6,6-4,4-8,1-0,10-2,8-0,5-8,10-1
Wis.-Milwaukee,52,23-8,103,8-5,13,15-3,8-6,7-3,2-5,3-1,5-0,13-2,5-6,13-2
StJohn's(N.Y.),53,21-13,31,12-3,4,9-10,7-5,9-1,4-10,6-2,7-1,4-0,10-12,7-1
UNCWilmington,54,24-7,82,6-4,17,18-3,10-5,9-1,0-3,4-1,7-3,13-0,4-4,13-2
NorthCarolinaSt.,55,18-13,148,7-5,3,11-8,3-7,5-5,4-9,6-3,3-0,5-1,10-12,5-1
Manhattan,56,23-7,95,6-3,16,17-4,9-3,6-4,1-2,3-1,8-3,11-1,4-3,13-1
OhioSt.,57,17-15,65,7-5,5,10-10,3-7,5-5,5-11,3-4,6-0,3-0,8-15,5-0
Tulsa,58,23-10,42,8-4,12,15-6,6-6,8-2,1-3,3-3,14-3,5-1,4-6,9-3
WesternKy.,59,23-9,100,8-7,15,15-2,5-7,9-1,1-3,1-0,12-5,9-1,2-3,11-1
HolyCross,60,25-5,63,9-4,26,16-1,10-3,9-1,1-2,0-0,7-3,17-0,1-2,22-2
Pennsylvania,61,22-6,91,8-6,23,14-0,10-4,9-1,0-4,2-1,11-1,9-0,2-5,13-0
Michigan,62,17-13,118,7-6,5,10-7,5-5,4-6,3-8,5-2,7-3,2-0,8-10,5-1
StLouis,63,16-14,93,6-6,8,10-8,3-8,8-2,5-6,3-3,6-3,2-2,8-9,2-2
DePaul,64,16-13,47,8-4,8,8-9,3-9,4-6,4-8,2-4,7-1,3-0,6-12,4-0
Minnesota,65,19-14,54,11-5,5,8-9,4-8,3-7,3-8,6-4,7-2,3-0,9-12,7-0
Tennessee,66,17-12,135,8-4,2,9-8,4-6,4-6,4-8,4-3,3-1,6-0,8-11,7-0
Wyoming,67,20-11,73,12-4,6,8-7,6-6,5-5,3-6,3-2,8-3,6-0,6-8,10-1
ColofCharleston,68,23-8,56,9-4,19,14-4,8-5,7-3,1-1,3-2,3-5,16-0,4-3,17-0
TroySt.,69,25-6,125,8-4,22,17-2,11-3,8-2,0-2,1-2,5-2,19-0,1-4,20-0
GeorgiaTech,70,16-15,75,9-5,3,7-10,2-11,4-6,3-8,7-5,2-2,4-0,10-13,5-0
TexasA&M,71,14-14,68,8-3,1,6-11,2-8,3-7,3-9,2-1,3-3,6-1,5-10,6-2
Villanova,72,15-16,57,7-7,4,8-9,3-9,2-8,4-9,3-4,5-3,3-0,7-13,7-1
Georgetown,73,19-15,77,11-3,4,8-12,6-7,6-4,3-10,4-3,5-2,7-0,7-13,9-0
Temple,74,18-16,121,5-9,9,13-7,6-10,7-3,3-8,6-6,5-1,4-1,9-14,7-1
Virginia,75,15-16,83,9-5,3,6-11,2-11,2-8,5-7,3-5,3-4,4-0,8-12,4-1
FresnoSt.,76,20-8,84,7-3,12,13-5,6-7,5-5,0-2,2-2,10-3,8-1,2-4,12-2
KentSt.,77,20-10,55,6-3,11,14-7,9-4,4-6,2-1,2-2,11-7,5-0,4-3,9-3
La.-Lafayette,78,19-10,111,7-6,15,12-4,8-7,6-4,1-3,1-2,11-4,6-1,2-5,10-4
ColoradoSt.,79,17-14,112,9-5,6,8-9,3-9,5-5,3-9,2-2,6-3,6-0,5-11,8-1
WesternMich.,80,20-11,36,9-2,11,11-9,7-7,6-4,1-2,2-1,13-7,4-1,3-3,9-2
UAB,81,20-13,89,9-4,8,11-9,4-9,5-5,1-7,4-3,9-3,6-0,5-10,9-0
AustinPeay,82,20-8,104,4-5,21,16-3,6-7,8-2,1-2,0-0,11-4,8-2,1-2,9-3
Ill.-Chicago,83,21-9,107,8-4,13,13-5,9-7,6-4,1-3,1-3,7-2,12-1,2-6,14-1
Hawaii,84,19-12,22,9-2,12,10-10,3-11,6-4,2-0,3-4,11-6,3-2,5-4,8-4
FloridaSt.,85,14-15,52,9-2,3,5-13,1-8,3-7,1-9,4-4,6-2,3-0,5-13,6-0
