SCHOOLNAME,RPI ORIGRPI,RECORD,NONCONFRPI NONCONFRECORD,CONFRPI CONFRECORD,ROAD,L10,1-50,51-100 101-200,201-999,VTOP100,VBELOW166
Kansas,1 1,23-6,1 10-1,2 13- 5,6-4,5- 5,8- 4,12- 2 2- 0,1- 0,20- 6,1- 0
 Illinois,2 2,31-1,3 14-0,6 17- 1,8-1,9- 1,12- 1,5- 0 10- 0,5- 0,17- 1,9- 0
Washington,3 6,26-5,7 9-1,4 17- 4,6-5,8- 2,8- 4,8- 1 8- 0,2- 0,16- 5,4- 0
North Carolina,4 3,27-4,9 12-1,1 15- 3,8-2,8- 2,6- 3,11- 0 6- 1,4- 0,17- 3,4- 0
Duke,5 4,24-5,4 11-0,1 13- 5,5-4,7- 3,7- 2,9- 2 8- 1,1- 0,16- 4,2- 0
Wake Forest,6 7,26-5,6 13-1,1 13- 4,8-4,8- 2,6- 3,13- 1 4- 1,3- 0,19- 4,4- 0
Oklahoma St.,7 5,22-6,2 9-1,2 13- 5,7-4,7- 3,7- 5,9- 0 5- 1,2- 0,16- 5,3- 0
Kentucky,8 9,25-4,23 9-2,5 16- 2,7-3,7- 3,6- 4,5- 1 9- 0,5- 0,11- 5,5- 0
Arizona,9 10,27-6,13 10-2,4 17- 4,8-3,8- 2,6- 4,8- 1 12- 1,1- 0,14- 5,3- 0
Boston College,10 8,24-4,5 11-0,3 13- 4,7-2,6- 4,6- 3,7- 1 8- 0,3- 0,13- 4,5- 0
Gonzaga,11 13,25-4,16 11-2,7 14- 2,6-3,10- 0,5- 2,1- 2 16- 0,3- 0,6- 4,7- 0
Louisville,12 11,27-4,27 10-2,9 17- 2,9-1,9- 1,7- 2,5- 1 9- 1,6- 0,12- 3,9- 0
Wisconsin,13 16,22-7,19 9-2,6 13- 5,5-6,7- 3,7- 5,4- 2 8- 1,3- 0,11- 7,5- 0
Connecticut,14 12,22-7,32 8-3,3 14- 4,7-3,8- 2,6- 5,8- 1 5- 1,3- 0,14- 6,4- 0
Villanova,15 14,22-7,8 10-1,3 12- 6,6-3,8- 2,5- 4,7- 3 8- 0,2- 0,12- 7,5- 0
Alabama,16 18,23-7,20 10-2,5 13- 5,7-4,7- 3,5- 6,4- 1 9- 0,5- 0,9- 7,7- 0
Oklahoma,17 15,24-7,22 11-2,2 13- 5,6-3,7- 3,7- 5,6- 2 4- 0,7- 0,13- 7,8- 0
Southern Ill.,18 21,25-7,29 9-3,8 16- 4,8-6,9- 1,5- 3,3- 3 14- 1,3- 0,8- 6,8- 0
Syracuse,19 17,27-6,24 13-1,3 14- 5,6-3,6- 4,5- 6,8- 0 9- 0,5- 0,13- 6,7- 0
Michigan St.,20 22,22-6,25 9-2,6 13- 4,7-4,8- 2,7- 4,0- 2 10- 0,5- 0,7- 6,8- 0
Florida,21 19,22-7,57 8-3,5 14- 4,6-4,9- 1,5- 4,6- 1 6- 2,6- 0,11- 5,7- 0
Pacific,22 23,26-3,26 7-2,17 19- 1,13-1,9- 1,2- 1,2- 2 9- 0,13- 0,4- 3,15- 0
Utah,23 25,25-5,53 10-3,11 15- 2,7-3,8- 2,1- 2,5- 3 8- 0,11- 0,6- 5,14- 0
Cincinnati,24 20,24-7,17 12-2,9 12- 5,6-3,7- 3,4- 5,5- 1 10- 1,5- 0,9- 6,10- 0
LSU,25 24,20-9,79 7-4,5 13- 5,4-6,8- 2,6- 5,3- 2 7- 1,4- 1,9- 7,4- 1
Vermont,26 34,24-6,72 5-4,16 19- 2,10-6,7- 3,0- 3,5- 1 7- 2,12- 0,5- 4,19- 1
Georgia Tech,27 26,19-10,35 9-2,1 10- 8,4-6,6- 4,2- 7,6- 3 6- 1,5- 0,8- 10,5- 0
Texas Tech,28 27,20-9,98 8-3,2 12- 6,5-5,5- 5,5- 7,6- 3 3- 0,6- 0,11- 10,6- 0
Mississippi St.,29 33,22-10,28 12-2,5 10- 8,6-5,5- 5,2- 8,5- 0 7- 2,8- 0,7- 8,10- 0
Charlotte,30 38,21-7,37 9-2,9 12- 5,7-5,7- 3,3- 3,6- 0 7- 4,5- 0,9- 3,10- 1
St. Mary's (Cal.),31 39,23-8,86 11-4,7 12- 4,9-4,7- 3,1- 3,3- 0 14- 5,5- 0,4- 3,9- 0
UTEP,32 32,25-7,67 8-3,12 17- 4,7-4,8- 2,1- 4,4- 0 9- 2,11- 1,5- 4,11- 1
Nevada,33,28,23-6,44 7-3,,12,16- 3,11-2,9- 1,2- 3,3- 0,8- 2,10- 1,5- 3,10- 1
West Virginia,34,31,21-10,69 10-1,,3,11- 9,6-5,7- 3,5- 6,5- 2,6- 1,5- 1,10- 8,5- 1
Old Dominion,35,42,27-5,97 9-2,,14,18- 3,11-4,8- 2,0- 0,9- 3,4- 2,14- 0,9- 3,15- 1
Texas,36,35,19-10,45 10-2,,2,9- 8,4-6,5- 5,3- 6,4- 4,6- 0,6- 0,7- 10,7- 0
Northern Iowa,37,43,20-10,30 9-2,,8,11- 8,6-7,7- 3,2- 6,4- 1,10- 2,4- 1,6- 7,8- 1
Pittsburgh,38,29,20-8,64 10-1,,3,10- 7,6-3,5- 5,4- 5,4- 2,6- 1,6- 0,8- 7,6- 0
Stanford,39,41,18-12,85 6-4,,4,12- 8,5-6,6- 4,4- 5,4- 3,7- 4,3- 0,8- 8,3- 0
Miami (Ohio),40,58,18-10,78 5-3,,10,13- 7,5-9,5- 5,3- 4,3- 3,8- 1,4- 2,6- 7,7- 2
Minnesota,41,30,21-10,39 10-3,,6,11- 7,5-4,6- 4,4- 7,3- 1,8- 2,6- 0,7- 8,10- 0
 Iowa,42,36,21-11,11 12-1,,6,9- 10,3-6,6- 4,7- 8,2- 0,8- 3,4- 0,9- 8,7- 1
UCLA,43,37,18-10,34 7-2,,4,11- 8,6-5,6- 4,1- 7,6- 2,8- 1,3- 0,7- 9,4- 0
Creighton,44,40,23-10,77 9-3,,8,14- 7,7-5,9- 1,6- 2,2- 3,11- 4,4- 1,8- 5,6- 2
Wichita St.,45,44,20-9,80 7-2,,8,13- 7,8-5,4- 6,2- 6,4- 0,8- 3,6- 0,6- 6,8- 2
Buffalo,46,53,22-9,42 8-1,,10,14- 8,8-6,8- 2,1- 5,5- 3,8- 1,8- 0,6- 8,12- 0
La.-Lafayette,47,73,19-10,83 5-6,,13,14- 4,5-9,7- 3,1- 3,2- 3,9- 4,7- 0,3- 6,11- 1
Ohio,48,67,21-10,146 6-3,,10,15- 7,4-9,8- 2,5- 1,4- 3,4- 5,8- 1,9- 4,10- 3
UAB,49,49,21-10,46 10-3,,9,11- 7,7-5,5- 5,0- 5,6- 1,9- 3,6- 1,6- 6,8- 2
Ohio St.,50,46,20-12,38 11-3,,6,9- 9,2-8,5- 5,3- 10,3- 2,5- 0,9- 0,6- 12,11- 0
Utah St.,51,62,24-7,65 9-2,,17,15- 5,6-5,8- 2,2- 2,0- 0,8- 3,14- 2,2- 2,18- 2
Southwest Mo. St.,52,55,18-12,99 6-3,,8,12- 9,4-8,6- 4,6- 7,1- 0,6- 5,5- 0,7- 7,7- 2
DePaul,53,56,19-10,61 8-3,,9,11- 7,4-7,5- 5,2- 5,4- 1,8- 4,5- 0,6- 6,9- 1
Penn,54,80,20-8,132 7-7,,18,13- 1,8-7,9- 1,0- 2,3- 3,5- 3,12- 0,3- 5,15- 1
Kent St.,55,71,18-12,59 6-4,,10,12- 8,5-9,5- 5,4- 7,2- 2,4- 3,8- 0,6- 9,11- 0
Northeastern,56,72,21-9,142 4-5,,16,17- 4,8-6,8- 2,0- 4,2- 1,9- 3,10- 1,2- 5,18- 4
Maryland,57,45,16-12,31 9-2,,1,7- 10,2-7,3- 7,3- 4,3- 7,5- 1,5- 0,6- 11,5- 0
Wis.-Milwaukee,58,70,22-5,92 6-3,,19,16- 2,11-3,9- 1,0- 2,0- 0,12- 3,10- 0,0- 2,17- 2
George Washington,59,61,22-7,36 8-2,,15,14- 5,8-4,8- 2,1- 2,4- 1,7- 4,10- 0,5- 3,14- 0
 Indiana,60,48,15-13,74 5-6,,6,10- 7,2-8,6- 4,4- 10,0- 2,9- 1,2- 0,4- 12,6- 0
Rice,61,60,17-11,58 4-4,,12,13- 7,5-7,7- 3,0- 8,1- 0,10- 2,6- 1,1- 8,6- 1
 Iowa St.,62,57,18-11,93 8-3,,2,10- 8,4-7,7- 3,4- 5,5- 4,4- 2,5- 0,9- 9,6- 0
North Carolina St.,63,52,19-13,108 10-3,,1,9- 10,6-6,6- 4,4- 8,4- 2,5- 3,6- 0,8- 10,9- 0
Bucknell,64,83,22-9,70 9-5,,23,13- 4,8-7,7- 3,1- 1,4- 3,4- 2,13- 3,5- 4,14- 3
Holy Cross,65,68,24-6,54 9-4,,23,15- 2,11-3,9- 1,0- 3,3- 2,5- 1,16- 0,3- 5,19- 0
St. Joseph's,66,76,19-11,120 3-8,,15,16- 3,7-6,8- 2,0- 4,4- 5,9- 1,6- 1,4- 9,9- 1
New Mexico,67,78,25-6,128 12-2,,11,13- 4,5-5,9- 1,2- 2,2- 1,7- 2,14- 1,4- 3,17- 1
Arizona St.,68,51,18-13,14 11-1,,4,7- 12,4-6,3- 7,2- 8,5- 1,8- 4,3- 0,7- 9,5- 0
Miami (Fla.),68,50,16-12,40 9-2,,1,7- 10,5-5,3- 7,1- 7,5- 1,6- 3,4- 1,6- 8,6- 1
Texas A&M,70,66,17-9,95 9-0,,2,8- 9,3-6,5- 5,2- 7,5- 1,1- 1,9- 0,7- 8,10- 0
Akron,71,85,18-10,87 6-2,,10,12- 8,5-8,6- 4,4- 2,1- 4,6- 4,7- 0,5- 6,10- 1
Missouri,72,47,16-16,43 8-6,,2,8- 10,1-8,6- 4,3- 7,4- 9,7- 0,2- 0,7- 16,3- 0
Vanderbilt,73,54,18-13,41 10-4,,5,8- 9,2-7,5- 5,2- 8,3- 3,9- 1,4- 1,5- 11,5- 1
Notre Dame,74,59,17-11,131 8-3,,3,9- 8,4-6,4- 6,4- 7,3- 2,4- 2,6- 0,7- 9,7- 0
Western Ky.,75,87,20-8,63 10-2,,13,10- 6,6-6,7- 3,0- 1,0- 3,12- 3,8- 1,0- 4,12- 3
Hofstra,76,91,21-8,82 8-1,,14,13- 7,10-5,8- 2,1- 3,2- 3,5- 2,13- 0,3- 6,15- 0
Virginia,77,65,14-15,21 9-2,,1,5- 13,2-9,4- 6,1- 7,4- 6,8- 2,1- 0,5- 13,4- 0
Georgetown,78,64,17-12,91 8-3,,3,9- 9,4-5,4- 6,3- 7,3- 3,5- 2,6- 0,6- 10,6- 0
Ark.-Little Rock,79,94,15-10,103 5-5,,13,10- 5,4-8,6- 4,2- 3,2- 1,5- 6,6- 0,4- 4,9- 3
Davidson,80,81,18-8,199 1-7,,20,17- 1,9-3,9- 1,0- 2,1- 2,9- 4,8- 0,1- 4,13- 0
Oregon,81,69,14-13,10 8-1,,4,6- 12,3-7,3- 7,0- 9,4- 3,7- 1,3- 0,4- 12,3- 0
Winthrop,82,97,24-5,157 6-4,,27,18- 1,9-4,10- 0,0- 0,1- 3,1- 1,22- 1,1- 3,23- 1
Houston,83,86,18-13,66 9-5,,9,9- 8,4-9,6- 4,2- 5,2- 6,8- 1,6- 1,4- 11,8- 1
Boston U.,84,96,20-8,114 6-3,,16,14- 5,10-5,7- 3,1- 2,0- 3,8- 3,11- 0,1- 5,18- 2
San Francisco,85,82,16-13,50 9-4,,7,7- 9,4-9,3- 7,2- 7,2- 0,8- 6,4- 0,4- 7,4- 2
Drexel,86,98,17-11,104 5-4,,14,12- 7,9-7,7- 3,0- 3,4- 3,4- 4,9- 1,4- 6,10- 1
Clemson,87,75,16-15,60 10-3,,1,6- 12,3-7,5- 5,1- 9,4- 5,6- 1,5- 0,5- 14,8- 0
Marquette,88,63,18-11,15 11-1,,9,7- 10,4-5,4- 6,1- 6,3- 3,10- 2,4- 0,4- 9,7- 1
Va. Commonwealth,89,89,19-12,148 4-6,,14,15- 6,6-8,7- 3,1- 4,2- 2,7- 5,9- 1,3- 6,10- 2
South Carolina,90,74,15-13,49 8-3,,5,7- 10,1-9,4- 6,1- 8,4- 2,5- 3,5- 0,5- 10,7- 0
TCU,91,90,18-13,88 9-4,,9,9- 9,3-9,6- 4,2- 6,3- 3,6- 3,7- 1,5- 9,9- 3
UNLV,92,93,15-13,71 7-5,,11,8- 8,6-6,7- 3,0- 7,2- 2,8- 3,5- 1,2- 9,6- 2
Providence,93,79,13-17,33 9-4,,3,4- 13,4-6,4- 6,0- 14,4- 2,7- 1,2- 0,4- 16,4- 0
Niagara,94,122,20-9,147 5-4,,22,15- 5,5-9,7- 3,0- 1,0- 3,12- 3,8- 2,0- 4,14- 4
Kansas St.,95,77,15-12,68 8-1,,2,7- 11,2-6,4- 6,0- 7,5- 3,6- 2,4- 0,5- 10,6- 0
Arkansas,96,84,18-12,52 12-1,,5,6- 11,2-7,4- 6,1- 8,2- 2,6- 2,9- 0,3- 10,9- 0
Colorado,97,95,13-16,56 8-3,,2,5- 13,4-9,3- 7,2- 7,3- 5,6- 3,2- 1,5- 12,3- 1
Western Mich.,98,106,18-12,150 6-4,,10,12- 8,7-7,4- 6,1- 5,3- 0,8- 5,6- 2,4- 5,10- 2
Temple,99,100,16-13,76 4-7,,15,12- 6,6-7,6- 4,1- 3,2- 7,8- 2,5- 1,3- 10,6- 2
Oregon St.,100,103,17-14,168 8-3,,4,9- 11,3-10,5- 5,4- 6,3- 3,4- 4,6- 1,7- 9,6- 2
Denver,101,118,18-10,229 4-6,,13,14- 4,6-8,7- 3,2- 2,2- 2,6- 4,8- 2,4- 4,12- 4
Oral Roberts,102,105,24-7,81 9-3,,24,15- 4,11-4,8- 2,0- 1,2- 1,8- 4,14- 1,2- 2,22- 4
UNC Wilmington,103,114,19-10,198 5-4,,14,14- 6,7-8,6- 4,0- 3,4- 3,2- 4,13- 0,4- 6,13- 1
Washington St.,104,104,12-16,111 5-4,,4,7- 12,5-9,3- 7,3- 8,2- 5,4- 3,3- 0,5- 13,4- 0
Toledo,105,112,15-13,141 4-5,,10,11- 8,3-10,7- 3,1- 5,3- 2,6- 5,5- 1,4- 7,7- 3
Tennessee,106,88,14-17,100 7-6,,5,7- 11,2-8,4- 6,4- 8,2- 5,1- 4,7- 0,6- 13,7- 0
Bowling Green,107,108,17-11,119 6-2,,10,11- 9,6-7,5- 5,3- 2,2- 4,7- 4,5- 1,5- 6,7- 3
UCF,108,109,21-8,51 5-1,,21,16- 7,7-5,9- 1,0- 0,1- 0,6- 2,14- 6,1- 0,17- 6
Memphis,109,92,19-15,152 7-7,,9,12- 8,5-5,5- 5,3- 8,3- 4,7- 3,6- 0,6- 12,10- 1
Cal St. Northridge,110,135,17-13,186 4-6,,17,13- 7,7-9,6- 4,0- 4,1- 3,4- 4,12- 2,1- 7,16- 2
Nebraska,111,99,14-14,125 7-4,,2,7- 10,4-7,4- 6,1- 8,5- 6,1- 0,7- 0,6- 14,7- 0
Virginia Tech,112,102,15-13,194 7-4,,1,8- 9,3-8,4- 6,2- 5,6- 5,1- 2,6- 1,8- 10,6- 1
Cal St. Fullerton,113,130,18-10,155 5-3,,17,13- 7,7-6,7- 3,0- 2,1- 2,4- 3,13- 3,1- 4,14- 5
Rider,114,133,18-11,166 3-5,,22,15- 6,8-6,6- 4,0- 0,3- 3,7- 5,8- 3,3- 3,13- 7
Air Force,115,136,17-12,164 8-6,,11,9- 6,4-9,5- 5,0- 5,2- 4,5- 3,10- 0,2- 9,12- 1
Northwestern St.,116,139,17-11,201 2-8,,26,15- 3,6-8,9- 1,0- 5,0- 0,4- 5,13- 2,0- 5,13- 3
Ball St.,117,120,14-13,129 4-4,,10,10- 9,4-8,3- 7,1- 4,3- 3,7- 4,3- 2,4- 7,8- 3
Northwestern,118,101,15-16,118 8-5,,6,7- 11,1-9,5- 5,2- 8,2- 5,7- 1,4- 2,4- 13,6- 2
Eastern Ky.,119,148,19-8,139 5-3,,25,14- 5,8-7,8- 2,0- 2,0- 1,3- 3,16- 2,0- 3,16- 2
Princeton,120,141,14-13,55 8-5,,18,6- 8,5-10,5- 5,0- 3,3- 3,4- 3,7- 4,3- 6,10- 6
