SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100 101-200 VTOP100
Kentucky,1,98,16,38-2,1,20-1,18-1,8-1,18,32,2,5,14-2,7-0 12-0 21-2
Syracuse,2,97,13,34-3,6,16-1,18-2,9-1,15,38,13,42,13-3,6-0 10-0 19-3
Michigan St.,3,80,1,28-8,11,12-3,16-5,7-4,1,3,6,64,12-6,4-2 8-0 16-8
North Carolina,4,97,13,32-6,7,16-3,16-3,8-2,3,4,34,32,9-6,5-0 13-0 14-6
Kansas,5,93,7,32-7,10,15-4,17-3,8-2,8,7,3,2,14-6,2-1 9-0 16-7
Ohio St.,6,87,2,31-8,8,16-2,15-6,7-4,4,27,4,39,12-7,6-1 8-0 18-8
Duke,7,92,5,27-7,3,13-3,14-4,8-2,6,2,7,9,7-5,5-2 11-0 12-7
Baylor,8,99,20,29-8,4,15-1,14-7,8-3,10,23,43,124,9-8,6-0 7-0 15-8
Marquette,9,94,11,27-8,13,13-3,14-5,6-5,12,30,14,53,8-7,5-1 10-0 13-8
Louisville,10,87,2,30-10,2,16-2,14-8,6-5,2,5,8,14,11-9,6-0 9-1 17-9
 Indiana,11,106,30,27-9,9,15-1,12-8,5-6,17,54,30,197,9-6,4-1 8-2 13-7
Missouri,12,126,68,30-5,52,13-1,17-4,7-3,82,279,35,183,8-3,5-0 8-2 13-3
Florida St.,13,98,16,25-10,68,10-6,15-4,5-5,11,34,27,31,5-6,7-2 10-1 12-8
Georgetown,14,99,20,23-9,12,10-2,13-7,5-5,14,21,29,115,8-6,2-3 9-0 10-9
Michigan,15,93,7,23-10,72,9-4,14-6,6-6,21,149,1,49,7-7,6-1 6-2 13-8
Wisconsin,16,96,12,26-10,21,13-3,13-7,7-4,13,42,9,81,7-8,6-0 9-2 13-8
Vanderbilt,17,92,5,25-11,29,12-5,13-6,6-5,7,11,19,38,6-6,8-3 8-2 14-9
Wichita St.,18,126,68,26-6,19,9-3,17-3,10-1,47,14,97,79,2-4,6-1 13-1 8-5
Florida,19,104,27,26-11,17,15-4,11-7,4-7,20,52,16,28,5-7,5-2 12-2 10-9
Memphis,20,104,27,26-9,45,10-6,16-3,7-4,28,12,45,12,2-7,10-1 9-1 12-8
Murray St.,21,172,169,28-2,5,11-1,17-1,12-0,146,36,148,17,4-1,1-0 11-1 5-1
Temple,22,120,51,24-8,23,11-4,13-4,10-4,58,58,62,23,4-2,6-4 8-2 10-6
Creighton,23,137,97,29-6,20,12-2,17-4,10-3,105,116,74,33,4-2,5-2 12-2 9-4
Gonzaga,24,137,97,26-7,24,12-3,14-4,6-4,67,48,84,20,5-5,3-1 8-1 8-6
UNLV,25,125,65,24-9,31,14-3,10-6,6-7,40,146,73,106,6-6,3-2 7-1 9-8
Southern Miss.,26,123,59,23-9,16,11-3,12-6,7-6,48,39,69,88,3-3,6-3 9-2 9-6
