Year,Round,Region Number,Region Name,Seed1,Score1,Team1,Team2,Score2,Seed2
2020,1,1,West,1,0,Gonzaga,Prairie View,0,16,0
2020,1,1,West,2,0,San Diego St,UC Irvine,0,15,0
2020,1,1,West,3,0,Seton Hall,Eastern Wash,0,14,0
2020,1,1,West,4,0,Oregon,New Mexico St,0,13,0
2020,1,1,West,5,0,Michigan,Yale,0,12,0
2020,1,1,West,6,0,BYU,Indiana,0,11,0
2020,1,1,West,7,0,Arizona,Texas Tech,0,10,1
2020,1,1,West,8,0,LSU,Oklahoma,0,9,1
2020,1,2,Midwest,1,0,Kansas,Siena,0,16,0
2020,1,2,Midwest,2,0,Kentucky,North Dakota St,0,15,0
2020,1,2,Midwest,3,0,Duke,Belmont,0,14,0
2020,1,2,Midwest,4,0,Wisconsin,North Texas,0,13,0
2020,1,2,Midwest,5,0,Auburn,Liberty,0,12,0
2020,1,2,Midwest,6,0, Tennessee St,Iowa,0,11,1
2020,1,2,Midwest,7,0,Providence,Arizona St,0,10,0
2020,1,2,Midwest,8,0,Houston,Marquette,0,9,1
2020,1,3,East,1,0,Dayton,Robert Morris,0,16,0
2020,1,3,East,2,0,Florida St,Northern Ky,0,15,0
2020,1,3,East,3,0,Villanova,Hofstra,0,14,0
2020,1,3,East,4,0,Maryland,Akron,0,13,0
2020,1,3,East,5,0,Butler,Richmond,0,12,0
2020,1,3,East,6,0,Penn St,NC State,0,11,1
2020,1,3,East,7,0,West Virginia,Utah St,0,10,0
2020,1,3,East,8,0,Colorado,Florida,0,9,1
2020,1,4,South,1,0,Baylor,Winthrop,0,16,0
2020,1,4,South,2,0,Creighton,Little Rock,0,15,0
2020,1,4,South,3,0,Michigan St,Bradley,0,14,0
2020,1,4,South,4,0,Louisville,Vermont,0,13,0
2020,1,4,South,5,0,Ohio St,SFA,0,12,0
2020,1,4,South,6,0,Virginia,Cincinnati,0,11,0
2020,1,4,South,7,0,Illinois,Southern California,0,10,1
2020,1,4,South,8,0,Saint Marys CA,Rutgers,0,9,1
