SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
Gonzaga,1,146,108,31-2,17-1,14-1,10-1,111,286,6-2,5-0,10-0,10-0
Kansas,2,67,1,27-3,17-1,10-2,10-1,1,1,12-3,8-0,4-0,3-0
Dayton,3,130,89,29-2,18-0,11-2,9-0,27,48,5-2,8-0,9-0,7-0
SanDiegoSt.,4,150,110,29-2,19-2,10-0,11-0,98,145,4-1,7-0,8-1,10-0
Baylor,5,97,46,26-4,15-3,11-1,9-2,58,169,11-2,5-2,6-0,4-0
Duke,6,97,46,25-6,15-5,10-1,7-4,31,7,5-3,6-2,12-1,2-0
MichiganSt.,7,86,18,22-9,14-6,8-3,7-4,37,93,9-7,5-2,2-0,6-0
Louisville,8,101,56,24-7,15-5,9-2,6-5,18,25,4-6,6-1,9-0,5-0
BYU,9,118,77,23-8,13-4,10-4,6-5,24,9,3-5,5-3,8-0,7-0
FloridaSt.,10,98,49,26-5,16-4,10-1,7-5,41,118,6-3,8-2,8-0,4-0
Creighton,11,81,8,23-7,13-5,10-2,6-5,23,155,9-7,6-0,3-0,5-0
Oregon,12,87,21,24-7,13-5,11-2,5-5,16,26,7-5,6-2,7-0,4-0
Villanova,13,79,5,24-7,13-5,11-2,9-3,3,36,10-6,6-1,5-0,3-0
Arizona,14,93,36,21-11,11-8,10-3,4-6,11,21,3-7,6-3,8-1,4-0
SetonHall,15,78,4,21-9,13-5,8-4,8-4,4,78,10-7,5-2,1-0,5-0
OhioSt.,16,93,36,21-10,11-9,10-1,4-7,47,91,6-9,6-1,3-0,6-0
WestVirginia,17,75,2,21-10,9-9,12-1,4-8,2,4,6-7,6-3,7-0,2-0
Maryland,18,86,18,24-7,14-6,10-1,5-6,42,116,8-7,6-0,3-0,7-0
Butler,19,87,21,22-9,10-8,12-1,5-6,54,228,10-6,5-3,2-0,5-0
Houston,20,113,73,23-8,13-5,10-3,6-6,65,214,2-5,8-3,8-0,5-0
Kentucky,21,107,64,25-6,15-3,10-3,8-2,82,162,9-3,5-2,5-0,6-1
TexasTech,22,109,68,18-13,9-9,9-4,3-7,50,180,3-10,4-3,3-0,8-0
Wisconsin,23,85,15,21-10,14-6,7-4,6-6,32,38,10-8,3-1,1-1,7-0
Michigan,24,85,15,19-12,10-10,9-2,4-7,48,117,6-10,5-2,2-0,6-0
Colorado,25,94,39,21-11,11-9,10-2,4-7,14,34,5-4,6-4,4-3,6-0
Marquette,26,82,12,18-12,8-10,10-2,3-8,5,62,5-10,6-2,2-0,5-0
Auburn,27,95,41,25-6,12-6,13-0,5-5,22,14,7-3,7-2,8-1,3-0
LSU,28,95,41,21-10,12-6,9-4,5-6,7,8,4-8,7-1,6-1,4-0
Florida,29,85,15,19-12,11-7,8-5,4-7,20,13,5-9,4-3,6-0,4-0
Rutgers,30,95,41,19-11,11-9,8-2,2-8,40,95,4-9,5-1,3-1,7-0
SaintMary's(CA),31,131,91,25-8,13-6,12-2,6-3,29,89,3-5,5-1,8-2,9-0
Purdue,32,81,8,16-15,9-11,7-4,4-8,39,86,4-11,5-3,2-1,5-0
Stanford,33,115,75,20-12,9-10,11-2,4-6,99,226,4-7,3-3,6-2,7-0
Iowa,34,88,25,20-11,11-9,9-2,4-7,94,236,8-8,5-1,2-2,5-0
PennSt.,35,98,49,21-10,11-9,10-1,5-6,123,336,8-7,5-2,2-1,6-0
ETSU,36,189,186,27-4,19-2,8-2,11-3,129,59,1-2,2-1,12-0,12-1
Providence,37,92,34,19-12,12-6,7-6,5-6,9,129,7-8,5-0,2-3,5-1
Richmond,38,143,101,24-7,14-4,10-3,9-3,86,98,3-4,3-2,8-1,10-0
Illinois,39,99,54,20-10,13-7,7-3,6-6,76,242,6-8,4-1,1-1,9-0
UtahSt.,40,149,109,24-8,15-6,9-2,4-6,114,108,3-4,2-2,7-2,12-0
WichitaSt.,41,121,79,23-8,11-7,12-1,5-5,66,141,2-5,7-3,6-0,8-0
Minnesota,42,80,6,15-16,9-12,6-4,2-10,62,165,4-12,2-3,3-1,6-0
Arkansas,43,98,49,20-12,8-11,12-1,4-8,34,12,4-6,2-6,10-0,4-0
Virginia,44,104,59,23-7,15-5,8-2,7-4,72,222,5-3,7-3,6-1,5-0
SouthernCalifornia,45,107,64,22-9,11-7,11-2,5-6,78,194,3-7,7-1,7-1,5-0
Oklahoma,46,80,6,19-12,9-9,10-3,4-8,26,67,5-9,6-3,4-0,4-0
Xavier,47,77,3,19-13,8-11,11-2,5-6,15,71,3-11,7-2,6-0,3-0
UNI,48,154,115,23-6,14-5,9-1,8-4,117,121,1-1,3-2,10-3,9-0
SaintLouis,49,140,98,22-8,12-6,10-2,7-4,85,128,2-5,2-2,10-1,8-0
MississippiSt.,50,103,58,20-11,11-7,9-4,4-7,67,101,2-7,6-2,7-2,5-0
Cincinnati,51,106,63,20-10,13-5,7-5,5-6,21,32,2-6,7-0,9-4,2-0
NotreDame,52,122,81,20-12,11-10,9-2,4-7,116,292,2-7,2-4,9-1,7-0
NCState,53,110,70,20-12,11-10,9-2,5-7,68,90,4-5,4-5,6-2,6-0
ArizonaSt.,54,91,31,20-11,11-8,9-3,6-5,12,53,5-8,4-3,6-0,5-0
Alabama,55,90,30,16-15,8-10,8-5,4-8,32,49,2-7,6-5,5-3,3-0
Indiana,56,89,27,20-12,10-11,10-1,2-8,64,66,4-10,5-2,4-0,7-0
RhodeIsland,57,126,84,21-9,13-5,8-4,8-5,53,40,1-6,7-2,6-1,7-0
Washington,58,97,46,15-17,5-14,10-3,3-7,17,24,3-8,2-6,5-3,5-0
Memphis,59,125,83,21-10,10-8,11-2,5-6,55,122,2-5,6-2,6-3,7-0
UConn,60,123,82,19-12,10-8,9-4,3-7,80,171,2-5,3-5,7-1,7-1
Syracuse,61,105,60,18-14,11-10,7-4,6-5,79,170,3-5,4-7,5-2,6-0
StJohn's(NY),62,98,49,17-15,6-13,11-2,1-8,46,202,4-11,3-3,2-1,8-0
Tennessee,63,94,39,17-14,9-9,8-5,4-7,6,16,3-11,5-2,5-1,4-0
OklahomaSt.,64,82,12,18-14,8-11,10-3,5-7,45,105,3-9,7-5,5-0,3-0
Georgetown,65,81,8,15-17,5-14,10-3,4-8,10,80,4-12,4-4,2-1,5-0
SouthCarolina,66,111,71,18-13,10-8,8-5,6-6,74,103,3-9,6-1,4-2,5-1
Liberty,67,254,340,28-4,16-3,12-1,7-4,325,230,0-1,1-0,3-1,24-2
VCU,68,129,87,18-13,8-10,10-3,4-7,56,156,1-8,2-3,7-1,8-1
