YEAR,ROUND,TEAM1,TEAM1SEED,TEAM1REC,TEAM1RPI,TEAM1TOP50,TEAM1SCORE,TEAM2,TEAM2SEED,TEAM2REC,TEAM2RPI,TEAM2TOP50,TEAM2SCORE,WINNINGTEAM
2000,1,arizona,1,0.794,9,0.783,71,jacksonst,16,0.5,202,0.0,47,0
2000,1,jacksonst,16,0.5,202,0.0,47,arizona,1,0.794,9,0.783,71,1
2000,1,stjohnsny,2,0.758,6,0.65,61,northernariz,15,0.621,69,0.455,56,0
2000,1,northernariz,15,0.621,69,0.455,56,stjohnsny,2,0.758,6,0.65,61,1
2000,1,oklahoma,3,0.794,17,0.562,74,winthrop,14,0.667,125,0.25,50,0
2000,1,winthrop,14,0.667,125,0.25,50,oklahoma,3,0.794,17,0.562,74,1
2000,1,lsu,4,0.824,13,0.75,64,southeastmost,13,0.759,54,0.4,61,0
2000,1,southeastmost,13,0.759,54,0.4,61,lsu,4,0.824,13,0.75,64,1
2000,1,texas,5,0.727,8,0.55,77,indianast,12,0.688,48,0.364,61,0
2000,1,indianast,12,0.688,48,0.364,61,texas,5,0.727,8,0.55,77,1
2000,1,purdue,6,0.697,26,0.571,62,dayton,11,0.71,50,0.5,61,0
2000,1,dayton,11,0.71,50,0.5,61,purdue,6,0.697,26,0.571,62,1
2000,1,louisville,7,0.6,44,0.5,66,gonzaga,10,0.743,32,0.5,77,1
2000,1,gonzaga,10,0.743,32,0.5,77,louisville,7,0.6,44,0.5,66,0
2000,1,wisconsin,8,0.611,21,0.538,66,fresnost,9,0.706,36,0.417,56,0
2000,1,fresnost,9,0.706,36,0.417,56,wisconsin,8,0.611,21,0.538,66,1
2000,1,michiganst,1,0.821,2,0.769,65,valparaiso,16,0.552,193,0.0,38,0
2000,1,valparaiso,16,0.552,193,0.0,38,michiganst,1,0.821,2,0.769,65,1
2000,1,iowast,2,0.853,3,0.789,88,centralconnst,15,0.806,89,0.0,78,0
2000,1,centralconnst,15,0.806,89,0.0,78,iowast,2,0.853,3,0.789,88,1
2000,1,maryland,3,0.714,16,0.636,74,iona,14,0.645,88,0.333,59,0
2000,1,iona,14,0.645,88,0.333,59,maryland,3,0.714,16,0.636,74,1
2000,1,syracuse,4,0.812,11,0.647,79,samford,13,0.667,119,0.25,65,0
2000,1,samford,13,0.667,119,0.25,65,syracuse,4,0.812,11,0.647,79,1
2000,1,kentucky,5,0.688,4,0.583,85,stbonaventure,12,0.677,42,0.5,80,0
2000,1,stbonaventure,12,0.677,42,0.5,80,kentucky,5,0.688,4,0.583,85,1
2000,1,ucla,6,0.636,28,0.565,65,ballst,11,0.7,45,0.588,57,0
2000,1,ballst,11,0.7,45,0.588,57,ucla,6,0.636,28,0.565,65,1
2000,1,auburn,7,0.697,25,0.5,72,creighton,10,0.697,58,0.545,69,0
2000,1,creighton,10,0.697,58,0.545,69,auburn,7,0.697,25,0.5,72,1
2000,1,utah,8,0.7,39,0.538,48,stlouis,9,0.576,53,0.5,45,0
2000,1,stlouis,9,0.576,53,0.5,45,utah,8,0.7,39,0.538,48,1
2000,1,duke,1,0.853,5,0.75,82,lamar,16,0.484,175,0.0,55,0
2000,1,lamar,16,0.484,175,0.0,55,duke,1,0.853,5,0.75,82,1
2000,1,temple,2,0.818,7,0.688,73,lafayette,15,0.759,109,0.25,47,0
2000,1,lafayette,15,0.759,109,0.25,47,temple,2,0.818,7,0.688,73,1
2000,1,oklahomast,3,0.788,14,0.647,86,hofstra,14,0.774,43,0.455,66,0
2000,1,hofstra,14,0.774,43,0.455,66,oklahomast,3,0.788,14,0.647,86,1
2000,1,illinois,4,0.688,23,0.55,68,penn,13,0.724,74,0.3,48,0
2000,1,penn,13,0.724,74,0.3,48,illinois,4,0.688,23,0.55,68,1
2000,1,florida,5,0.784,10,0.652,69,butler,12,0.742,40,0.25,68,0
2000,1,butler,12,0.742,40,0.25,68,florida,5,0.784,10,0.652,69,1
2000,1,indiana,6,0.69,22,0.6,57,pepperdine,11,0.735,37,0.417,77,1
2000,1,pepperdine,11,0.735,37,0.417,77,indiana,6,0.69,22,0.6,57,0
2000,1,oregon,7,0.724,30,0.647,71,setonhall,10,0.688,47,0.4,72,1
2000,1,setonhall,10,0.688,47,0.4,72,oregon,7,0.724,30,0.647,71,0
2000,1,kansas,8,0.697,19,0.524,81,depaul,9,0.625,49,0.45,77,0
2000,1,depaul,9,0.625,49,0.45,77,kansas,8,0.697,19,0.524,81,1
2000,1,stanford,1,0.867,18,0.75,84,southcarolinast,16,0.588,187,0.0,65,0
2000,1,southcarolinast,16,0.588,187,0.0,65,stanford,1,0.867,18,0.75,84,1
2000,1,cincinnati,2,0.879,1,0.826,64,uncwilmington,15,0.581,99,0.444,47,0
2000,1,uncwilmington,15,0.581,99,0.444,47,cincinnati,2,0.879,1,0.826,64,1
2000,1,ohiost,3,0.767,27,0.611,87,appalachianst,14,0.69,84,0.333,61,0
2000,1,appalachianst,14,0.69,84,0.333,61,ohiost,3,0.767,27,0.611,87,1
2000,1,tennessee,4,0.781,12,0.688,63,lalafayette,13,0.727,63,0.333,58,0
2000,1,lalafayette,13,0.727,63,0.333,58,tennessee,4,0.781,12,0.688,63,1
2000,1,connecticut,5,0.714,15,0.524,75,utahst,12,0.8,31,0.583,67,0
2000,1,utahst,12,0.8,31,0.583,67,connecticut,5,0.714,15,0.524,75,1
2000,1,miamifla,6,0.676,34,0.556,75,arkansas,11,0.559,55,0.353,71,0
2000,1,arkansas,11,0.559,55,0.353,71,miamifla,6,0.676,34,0.556,75,1
2000,1,tulsa,7,0.865,20,0.692,89,unlv,10,0.742,60,0.429,62,0
2000,1,unlv,10,0.742,60,0.429,62,tulsa,7,0.865,20,0.692,89,1
2000,1,northcarolina,8,0.611,24,0.519,84,missouri,9,0.581,57,0.368,70,0
2000,1,missouri,9,0.581,57,0.368,70,northcarolina,8,0.611,24,0.519,84,1
2000,2,arizona,1,0.794,9,0.783,58,wisconsin,8,0.611,21,0.538,66,1
2000,2,wisconsin,8,0.611,21,0.538,66,arizona,1,0.794,9,0.783,58,0
2000,2,stjohnsny,2,0.758,6,0.65,76,gonzaga,10,0.743,32,0.5,82,1
2000,2,gonzaga,10,0.743,32,0.5,82,stjohnsny,2,0.758,6,0.65,76,0
2000,2,oklahoma,3,0.794,17,0.562,62,purdue,6,0.697,26,0.571,66,1
2000,2,purdue,6,0.697,26,0.571,66,oklahoma,3,0.794,17,0.562,62,0
2000,2,lsu,4,0.824,13,0.75,72,texas,5,0.727,8,0.55,67,0
2000,2,texas,5,0.727,8,0.55,67,lsu,4,0.824,13,0.75,72,1
