YEAR,ROUND,TEAM1,TEAM1SEED,TEAM1REC,TEAM1RPI,TEAM1TOP50,TEAM1SCORE,TEAM2,TEAM2SEED,TEAM2REC,TEAM2RPI,TEAM2TOP50,TEAM2SCORE,WINNINGTEAM
2020,2,gonzaga,1,0.939,1,0.75,0,oklahoma,9,0.613,46,0.357,0,1
2020,2,oklahoma,9,0.613,46,0.357,0,gonzaga,1,0.939,1,0.75,0,0
2020,2,sandiegost,2,0.935,4,0.8,0,texastech,10,0.581,22,0.231,0,1
2020,2,texastech,10,0.581,22,0.231,0,sandiegost,2,0.935,4,0.8,0,0
2020,2,setonhall,3,0.7,15,0.588,0,byu,6,0.742,9,0.375,0,1
2020,2,byu,6,0.742,9,0.375,0,setonhall,3,0.7,15,0.588,0,0
2020,2,oregon,4,0.774,12,0.583,0,michigan,5,0.613,24,0.375,0,1
2020,2,michigan,5,0.613,24,0.375,0,oregon,4,0.774,12,0.583,0,0
2020,2,kansas,1,0.9,2,0.8,0,marquette,9,0.6,26,0.333,0,1
2020,2,marquette,9,0.6,26,0.333,0,kansas,1,0.9,2,0.8,0,0
2020,2,kentucky,2,0.806,21,0.75,0,providence,7,0.613,37,0.467,0,1
2020,2,providence,7,0.613,37,0.467,0,kentucky,2,0.806,21,0.75,0,0
2020,2,duke,3,0.806,6,0.625,0,iowa,11,0.645,34,0.5,0,1
2020,2,iowa,11,0.645,34,0.5,0,duke,3,0.806,6,0.625,0,0
2020,2,wisconsin,4,0.677,23,0.556,0,auburn,5,0.806,27,0.7,0,1
2020,2,auburn,5,0.806,27,0.7,0,wisconsin,4,0.677,23,0.556,0,0
2020,2,dayton,1,0.935,3,0.714,0,florida,9,0.613,29,0.357,0,1
2020,2,florida,9,0.613,29,0.357,0,dayton,1,0.935,3,0.714,0,0
2020,2,floridast,2,0.839,10,0.667,0,westvirginia,7,0.677,17,0.462,0,1
2020,2,westvirginia,7,0.677,17,0.462,0,floridast,2,0.839,10,0.667,0,0
2020,2,villanova,3,0.774,13,0.625,0,ncstate,11,0.625,53,0.444,0,1
2020,2,ncstate,11,0.625,53,0.444,0,villanova,3,0.774,13,0.625,0,0
2020,2,maryland,4,0.774,18,0.533,0,butler,5,0.71,19,0.625,0,1
2020,2,butler,5,0.71,19,0.625,0,maryland,4,0.774,18,0.533,0,0
2020,2,baylor,1,0.867,5,0.846,0,rutgers,9,0.633,30,0.308,0,1
2020,2,rutgers,9,0.633,30,0.308,0,baylor,1,0.867,5,0.846,0,0
2020,2,creighton,2,0.767,11,0.562,0,southerncalifornia,10,0.71,45,0.3,0,1
2020,2,southerncalifornia,10,0.71,45,0.3,0,creighton,2,0.767,11,0.562,0,0
2020,2,michiganst,3,0.71,7,0.562,0,virginia,6,0.767,44,0.625,0,1
2020,2,virginia,6,0.767,44,0.625,0,michiganst,3,0.71,7,0.562,0,0
2020,2,louisville,4,0.774,8,0.4,0,ohiost,5,0.677,16,0.4,0,1
2020,2,ohiost,5,0.677,16,0.4,0,louisville,4,0.774,8,0.4,0,0
